"Address","lat","lon","remoteness","dist_to_coast"
"8-10 Perouse Rd, Randwick NSW 2031",-33.91899,151.2421524,0,0.02
"179 Parramatta Road, Auburn NSW 2144",-33.8410797,151.0359975,0,0.1627882
"Forbes Street, Parkes NSW 2870",-33.1483014,148.1694709,2.56,2.997749
"242 Parramatta Road, Homebush NSW 2140",-33.8617091,151.0764052,0,0.1204159
"9999 Pacific Hwy, BULAHDELAH NSW 2423",-32.4310784,152.19258,1.9760733,0.1627882
"55-59 Ring Street, Inverell NSW 2360",-29.7621247,151.1142046,3.04,2.047071
"2656 Waterfall Way, Thora NSW 2454",-30.4253947,152.7790936,3.522596,0.264764
"588 High Street, Penrith NSW 2751",-33.752464,150.6910665,0.01260958,0.4973932
"435 Freemans Drive, Cooranbong NSW 2265",-33.0882452,151.450054,0.39,0.1843909
"362 Putty Road, Wilberforce NSW 2756",-33.5287176,150.8301421,0.6835687,0.4219005
"143 Meade Street, Glen Innes NSW 2370",-29.7374562,151.7384889,2.66,1.490503
"40 Industrial Drive, Mayfield NSW 2304",-32.8974541,151.7518543,0,0.04
"923 Ocean Drive, Bonny Hills NSW 2445",-31.5907277,152.8393004,1.63,0.01
"611-615 Mimosa Street (Corner Forest Road), Bexley NSW 2207",-33.9525339,151.1155559,0,0.04
"867-869 South Dowling Street, Waterloo NSW 2017",-33.9018561,151.2143868,0,0.05099019
"117 Seven Hills Rd, Baulkham Hills NSW 2153",-33.7613952,150.9750732,0,0.261725
"742 Forest Road, Peakhurst NSW 2210",-33.9575169,151.067992,0,0.07810249
"11 Grenfell Road, Cowra NSW 2794",-33.8343667,148.6733838,1.88,2.299239
"612 Forest Road, Penshurst NSW 2222",-33.961504,151.0792275,0,0.06403124
"110 Kurrajong Avenue, Leeton NSW 2705",-34.5556519,146.4099801,2.55,3.603471
"88 Clovelly Road, Randwick NSW 2031",-33.9087151,151.2485378,0,0.02236068
"1 Hanrahan Place (Cnr Leeds Pde), Orange NSW 2800",-33.2587658,149.1140079,1.22747,2.097546
"607 Canterbury Road, Belmore NSW 2192",-33.9214794,151.0959163,0,0.06708204
"411-417 Clenveland St, Redfern NSW 2016",-33.8918474,151.213301,0,0.05385165
"1 Jacobs Dr, SUSSEX INLET NSW 2540",-35.158325,150.5840417,1.3920374,0.02236068
"M1 Southbound, Wyong NSW 2259",-33.2540903,151.4053935,0.3025358,0.1252996
"17 Ellen Street, Wollongong NSW 2500",-34.4300009,150.8923705,0.11,0.01
"519-521 Carrington Rd, Londonderry NSW 2753",-33.6450867,150.736231,0.15363073,0.5220153
"61 Hawkins Street, Howlong NSW 2643",-35.9794913,146.6281492,1.3086557,2.287378
"203 Burns Bay Road, Lane Cove NSW 2066",-33.8145745,151.1543132,0,0.11
"56 Leabons Lane (Corner Blacktown Road), Blacktown East NSW 2148",-33.7818566,150.9231685,0,0.286007
"Newcastle Rd Cnr William St, East Maitland NSW 2323",-32.7498104,151.584175,0.05,0.2523886
"1686 Forest Rd, ORANGE NSW 2800",-33.3035774,149.1001489,1.17,2.081466
"99 Diadem Street, Lismore NSW 2480",-28.8118064,153.287106,0.56,0.2580698
"294 Albury St, Murrumburrah NSW 2586",-34.5499677,148.3513903,1.94,2.180481
"44-48 Byron St, Lennox Head NSW 2478",-28.791958,153.5883731,0.7915346,0.01
"213 Kissing Point Rd, Turramurra NSW 2074",-33.7485023,151.1119479,0,0.1655294
"7087 Bucketts Way, Taree NSW 2430",-31.9367922,152.4592015,1.922386,0.1252996
"102 Wollombi Rd, CESSNOCK NSW 2325",-32.838247,151.3437169,0.39,0.3860052
"Corner Hume Street And Ducks Lane, GOULBURN NSW 2580",-34.7723165,149.6910397,0.59,0.9374433
"99 Railway Street (Corner Frederick Street), Rockdale NSW 2216",-33.9524749,151.1356808,0,0.02
"60-64 Windsor Parade, Dubbo NSW 2830",-32.2541007,148.6313582,2.1,2.929249
