POA,resident_population,seifa_score
4745,3010,1032.107663
4746,1902,1042.613506
4750,5345,1051.635489
4751,4325,1033.724331
4753,3016,1057.607924
4754,1979,981.4075731
4756,534,906.6327624
4757,427,911.2859493
4798,567,926.0541288
4799,845,907.9721578
4800,8659,966.0652096
4802,8342,1005.355085
4803,1209,1048.589981
4804,2410,934.629574
4805,10477,932.7689373
4806,4029,944.4916927
4807,11097,943.4202923
4808,1270,952.7949911
4809,908,941.8975894
4810,21532,1014.298552
4811,11752,1003.692981
4812,19488,963.4740515
4814,44354,1013.681961
4815,20515,958.6708263
4816,8599,882.644504
4817,29770,1023.776983
4818,20302,1023.852259
4819,2203,947.7884398
4820,10774,931.8167053
4821,1500,926.8390858
4822,826,964.0642033
4823,1056,1001.42906
4824,2804,950.1915633
4825,21824,977.3129382
4828,187,637.0179016
4829,761,897.4605722
4830,1457,649.1206845
4849,1481,897.9496042
4850,11510,944.0427645
4852,3197,968.6496395
4854,5459,920.2944464
4855,842,946.2085859
4856,537,971.3420786
4857,173,915.4353229
4858,1254,973.058962
4859,415,900.2857063
4860,11197,905.987485
4861,1075,875.73449
4865,7664,971.5323198
4868,21439,964.998817
4869,17628,960.1141596
4870,66329,967.4811381
4871,16104,798.9287723
4872,3655,939.9921947
4873,6005,932.3219322
4874,4964,944.9248333
4875,7480,807.12594
4876,2317,750.3402359
4877,4765,998.9851238
4878,11634,994.4679171
4879,17132,1034.576102
4880,12132,918.832092
4881,4351,950.4773234
4882,2433,988.0774873
4883,8083,932.3511268
4884,1695,997.5161681
4885,3714,954.3256274
4886,843,925.1031242
4887,2230,895.312564
4888,2837,866.1143491
4890,1465,848.562744
4891,587,907.1501384
4895,4015,836.7461809
5000,12622,1007.616316
5006,6654,1087.412075
5007,6105,961.2228524
5008,13411,929.9904191
5009,4930,963.5170439
5010,5748,880.4328197
5011,9715,966.8443548
5012,9710,854.0737919
5013,9880,869.3376335
5014,11548,929.5464748
5015,5786,942.7795488
5016,8362,979.2249197
5017,4961,851.3086252
5018,5835,1013.1046
5019,9123,962.8869997
5020,2980,1052.067903
5021,5716,1041.421764
5022,14631,1039.226852
5023,15946,919.0625082
5024,12950,1025.601071
5025,7957,996.233912
5031,9587,981.0346592
5032,12216,999.664532
5033,7852,954.8375974
5034,9660,1073.455645
5035,5860,1023.366515
5037,10145,984.9130745
5038,14422,980.6259303
5039,8302,978.7661897
5040,2316,1005.208194
5041,12982,1062.639335
5042,10397,977.8948123
5043,17592,933.2215633
5044,10421,1033.868289
5045,15467,1037.989937
5046,7996,971.1814459
5047,7510,960.1212842
5048,13509,1009.68365
5049,9477,1060.447168
5050,5435,1079.013256
5051,13278,1095.846605
5052,6378,1105.512838
5061,9644,1092.849481
5062,14876,1081.797537
5063,11799,1061.207758
5064,9574,1097.559387
5065,9596,1076.786074
5066,11279,1116.481795
5067,9957,1060.013336
5068,11793,1049.734097
5069,8260,1067.612377
5070,14189,998.3800096
5072,11958,1046.37232
5073,14601,1014.720394
5074,12238,960.7794232
5075,10255,1011.326931
5076,9269,1053.473008
5081,8653,1073.139398
5082,14504,1035.71819
5083,7261,1011.163306
5084,9467,841.9153088
5085,15794,944.8379742
5086,15177,960.356571
5087,10420,970.7369504
5088,3185,914.227479
5089,6645,1062.24062
5090,7639,988.7816106
5091,7343,1039.080264
5092,15884,994.8475717
5093,8914,960.082917
5094,792,885.9713001
5095,17920,1012.869905
5096,14465,965.0728288
5097,13322,1006.785531
5098,12101,948.3702621
5107,15338,892.4297602
5108,37947,867.8745794
5109,20320,942.5245969
5110,8131,927.4701221
5112,18747,816.5522181
5113,18661,754.155863
5114,29080,935.6175588
5115,6908,911.8322347
5116,7713,944.8842072
5117,2362,1046.589137
5118,17292,989.6686742
5120,1738,957.3473121
5121,1292,944.7513084
5125,18497,1040.66572
5126,7210,1025.442609
5127,7991,1030.559576
5131,889,1083.35758
5132,342,1068.808824
5133,536,1090.723796
5134,442,1084.741208
5136,537,1098.415898
5137,464,1093.054955
5138,375,1083.758234
5139,175,1075.149451
5140,458,1121.070967
5141,697,1092.505494
5142,544,1048.245049
5144,434,1082.915696
5151,366,1077.05745
5152,6030,1118.886683
5153,6463,1075.819679
5154,3204,1128.175051
5155,3765,1070.068807
5156,1006,1102.253897
5157,2712,1076.636802
5158,24023,1043.142133
5159,33143,1053.347098
